title,description,category,price,discount_percentage,rating,stock,brand,sku,thumbnail
"Essence Mascara Lash Princess","The Essence Mascara Lash Princess is a popular mascara known for its volumizing and lengthening effects. Achieve dramatic lashes with this long-lasting and cruelty-free formula.",beauty,9.99,10.48,2.56,99,Essence,BEA-ESS-ESS-001,https://cdn.dummyjson.com/product-images/beauty/essence-mascara-lash-princess/thumbnail.webp
"Eyeshadow Palette with Mirror","The Eyeshadow Palette with Mirror offers a versatile range of eyeshadow shades for creating stunning eye looks. With a built-in mirror, it's convenient for on-the-go makeup application.",beauty,19.99,18.19,2.86,34,"Glamour Beauty",BEA-GLA-EYE-002,https://cdn.dummyjson.com/product-images/beauty/eyeshadow-palette-with-mirror/thumbnail.webp
"Powder Canister","The Powder Canister is a finely milled setting powder designed to set makeup and control shine. With a lightweight and translucent formula, it provides a smooth and matte finish.",beauty,14.99,9.84,4.64,89,"Velvet Touch",BEA-VEL-POW-003,https://cdn.dummyjson.com/product-images/beauty/powder-canister/thumbnail.webp
"Red Lipstick","The Red Lipstick is a classic and bold choice for adding a pop of color to your lips. With a creamy and pigmented formula, it provides a vibrant and long-lasting finish.",beauty,12.99,12.16,4.36,91,"Chic Cosmetics",BEA-CHI-LIP-004,https://cdn.dummyjson.com/product-images/beauty/red-lipstick/thumbnail.webp
"Red Nail Polish","The Red Nail Polish offers a rich and glossy red hue for vibrant and polished nails. With a quick-drying formula, it provides a salon-quality finish at home.",beauty,8.99,11.44,4.32,79,"Nail Couture",BEA-NAI-NAI-005,https://cdn.dummyjson.com/product-images/beauty/red-nail-polish/thumbnail.webp
"Calvin Klein CK One","CK One by Calvin Klein is a classic unisex fragrance, known for its fresh and clean scent. It's a versatile fragrance suitable for everyday wear.",fragrances,49.99,1.89,4.37,29,"Calvin Klein",FRA-CAL-CAL-006,https://cdn.dummyjson.com/product-images/fragrances/calvin-klein-ck-one/thumbnail.webp
"Chanel Coco Noir Eau De","Coco Noir by Chanel is an elegant and mysterious fragrance, featuring notes of grapefruit, rose, and sandalwood. Perfect for evening occasions.",fragrances,129.99,16.51,4.26,58,Chanel,FRA-CHA-CHA-007,https://cdn.dummyjson.com/product-images/fragrances/chanel-coco-noir-eau-de/thumbnail.webp
"Dior J'adore","J'adore by Dior is a luxurious and floral fragrance, known for its blend of ylang-ylang, rose, and jasmine. It embodies femininity and sophistication.",fragrances,89.99,14.72,3.8,98,Dior,FRA-DIO-DIO-008,https://cdn.dummyjson.com/product-images/fragrances/dior-j'adore/thumbnail.webp
"Dolce Shine Eau de","Dolce Shine by Dolce & Gabbana is a vibrant and fruity fragrance, featuring notes of mango, jasmine, and blonde woods. It's a joyful and youthful scent.",fragrances,69.99,0.62,3.96,4,"Dolce & Gabbana",FRA-DOL-DOL-009,https://cdn.dummyjson.com/product-images/fragrances/dolce-shine-eau-de/thumbnail.webp
"Gucci Bloom Eau de","Gucci Bloom by Gucci is a floral and captivating fragrance, with notes of tuberose, jasmine, and Rangoon creeper. It's a modern and romantic scent.",fragrances,79.99,14.39,2.74,91,Gucci,FRA-GUC-GUC-010,https://cdn.dummyjson.com/product-images/fragrances/gucci-bloom-eau-de/thumbnail.webp
"Annibale Colombo Bed","The Annibale Colombo Bed is a luxurious and elegant bed frame, crafted with high-quality materials for a comfortable and stylish bedroom.",furniture,1899.99,8.57,4.77,88,"Annibale Colombo",FUR-ANN-ANN-011,https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-bed/thumbnail.webp
"Annibale Colombo Sofa","The Annibale Colombo Sofa is a sophisticated and comfortable seating option, featuring exquisite design and premium upholstery for your living room.",furniture,2499.99,14.4,3.92,60,"Annibale Colombo",FUR-ANN-ANN-012,https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-sofa/thumbnail.webp
"Bedside Table African Cherry","The Bedside Table in African Cherry is a stylish and functional addition to your bedroom, providing convenient storage space and a touch of elegance.",furniture,299.99,19.09,2.87,64,"Furniture Co.",FUR-FUR-BED-013,https://cdn.dummyjson.com/product-images/furniture/bedside-table-african-cherry/thumbnail.webp
"Knoll Saarinen Executive Conference Chair","The Knoll Saarinen Executive Conference Chair is a modern and ergonomic chair, perfect for your office or conference room with its timeless design.",furniture,499.99,2.01,4.88,26,Knoll,FUR-KNO-KNO-014,https://cdn.dummyjson.com/product-images/furniture/knoll-saarinen-executive-conference-chair/thumbnail.webp
"Wooden Bathroom Sink With Mirror","The Wooden Bathroom Sink with Mirror is a unique and stylish addition to your bathroom, featuring a wooden sink countertop and a matching mirror.",furniture,799.99,8.8,3.59,7,"Bath Trends",FUR-BAT-WOO-015,https://cdn.dummyjson.com/product-images/furniture/wooden-bathroom-sink-with-mirror/thumbnail.webp
Apple,"Fresh and crisp apples, perfect for snacking or incorporating into various recipes.",groceries,1.99,12.62,4.19,8,,GRO-BRD-APP-016,https://cdn.dummyjson.com/product-images/groceries/apple/thumbnail.webp
"Beef Steak","High-quality beef steak, great for grilling or cooking to your preferred level of doneness.",groceries,12.99,9.61,4.47,86,,GRO-BRD-BEE-017,https://cdn.dummyjson.com/product-images/groceries/beef-steak/thumbnail.webp
"Cat Food","Nutritious cat food formulated to meet the dietary needs of your feline friend.",groceries,8.99,9.58,3.13,46,,GRO-BRD-FOO-018,https://cdn.dummyjson.com/product-images/groceries/cat-food/thumbnail.webp
"Chicken Meat","Fresh and tender chicken meat, suitable for various culinary preparations.",groceries,9.99,13.7,3.19,97,,GRO-BRD-CHI-019,https://cdn.dummyjson.com/product-images/groceries/chicken-meat/thumbnail.webp
"Cooking Oil","Versatile cooking oil suitable for frying, sautéing, and various culinary applications.",groceries,4.99,9.33,4.8,10,,GRO-BRD-COO-020,https://cdn.dummyjson.com/product-images/groceries/cooking-oil/thumbnail.webp
Cucumber,"Crisp and hydrating cucumbers, ideal for salads, snacks, or as a refreshing side.",groceries,1.49,0.16,4.07,84,,GRO-BRD-CUC-021,https://cdn.dummyjson.com/product-images/groceries/cucumber/thumbnail.webp
"Dog Food","Specially formulated dog food designed to provide essential nutrients for your canine companion.",groceries,10.99,10.27,4.55,71,,GRO-BRD-FOO-022,https://cdn.dummyjson.com/product-images/groceries/dog-food/thumbnail.webp
Eggs,"Fresh eggs, a versatile ingredient for baking, cooking, or breakfast.",groceries,2.99,11.05,2.53,9,,GRO-BRD-EGG-023,https://cdn.dummyjson.com/product-images/groceries/eggs/thumbnail.webp
